"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,"Analytics Aura","Analytics Aura","Analytics Aura is an early-stage product firm with a mission to unlock the potential of automation in analytics. Our aim is to bring break-through efficiencies for data-driven companies in their analytics modernization goals.","Data Infrastructure and Analytics","11-50 employees","Privately Held","Madurai, Tamil Nadu","India","analyticsaura.com","https://www.linkedin.com/company/analytics-aura","Analytics Aura","❌ No Events Found","✅ 40 Technologies Found",,"Google, Google Cloud, Google Cloud Global Multi-Region, GoDaddy DNS, GoDaddy Registrar, WordPress 6.0, Font Awesome, jQuery, WordPress, Contact Form 7, Apple Mobile Web Clips Icon, Live Writer Support, Google Font API, jQuery UI, Lightbox, Viewport Meta, Really Simple Discovery, RSS, jQuery Waypoints, IPhone / Mobile Compatible, Google Maps, Wordpress Plugins, Elementor, WPFront Scroll Top, Astra Theme, Apache, PHP, PHP 7, GoDaddy, SPF, GoDaddy Email, SSL by Default, Sucuri Cloudproxy, GoDaddy SSL, Webpack, core-js, Intersection Observer, Twemoji, Sucuri Hosting, U.S. Server Location","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"Data Kapoor","Data Kapoor","We are the bridge between research and industry. We genuinely believe that research should not just be limited to research papers but all research should produce practical value.

Turbocharge your business with cutting-edge A.I Research in just 4 steps.","Data Infrastructure and Analytics","Self-employed","Self Owned","Noida","India","datakapoor.com","https://www.linkedin.com/company/datakapoor","Data Kapoor","❌ No Events Found","❌ Domain not found in Builtwith","❌ No Technologies Found",,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"VittreeBi","VittreeBi","In order to make strategic decisions, businesses need to have a clear understanding of what, why/ how and when it is happening within their organisation. This is where Business Analytics comes in. By using sophisticated tools and techniques of Analytics we can help businesses to transform their data into actionable insights that inform critical decision-making processes.

Businesses have a wealth of raw data at their disposal, but it is not useful until it is transformed into insights that can guide decisions. This transformation can involve a range of activities, from data cleaning and preparation to data analysis and visualisation. The insights gained from this transformation can then be used to guide everything from marketing and sales strategies to product development and operational efficiencies.","Data Infrastructure and Analytics","11-50 employees","Partnership","Ernakulam, Kerala","India","vittreebi.com","https://www.linkedin.com/company/vittreebi","VittreeBi","❌ No Events Found","✅ 57 Technologies Found",,"Amazon, AWS Global Accelerator, SPF, GoDaddy Email, GoDaddy DNS, SSL by Default, Apple Mobile Web Clips Icon, Wix Bookings, Content Delivery Network, Wix, lodash, Viewport Meta, Intersection Observer, Polyfill IO, Sentry, Wix Media, IPhone / Mobile Compatible, HSTS, Wix Chat, Wix Forms, Wix Paid Plans, Copyright Year 2016, Google AdsBot Disallow, Google AdsBot Mobile Disallow, LetsEncrypt, Wix DNS, LocalBusiness Schema, PostalAddress Schema, Google Webmaster, Site Booster, core-js, Webpack, React, Site Booster for Wix, Sectigo SSL, Sectigo Domain SSL, Wix Hosted, Google Cloud, Google, Google Cloud CDN, Wix Stores, Wix Restaurants Orders, Wix Video, Google Cloud Global Multi-Region, American Express, PayPal, Wix Events, Googlebot Disallow, Slack, node4, Ruby on Rails Token, Yii Framework, Font Awesome, Ionicons, jQuery, Apache, CPanel SSL","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"ShapEN","ShapEN","ShapEN Designs solutions for small businesses, utilising Data and Behavioural Science.","Data Infrastructure and Analytics","2-10 employees","Privately Held","New Delhi, Delhi","India",,"https://www.linkedin.com/company/shapen","ShapEN",,,,,,,,
,"Infinto bytes","Infinto bytes",,"Data Infrastructure and Analytics","51-200 employees","Educational","Bangalore, karnataka","India","pes.edu","https://www.linkedin.com/company/infinto-bytes","Infinto bytes","✅ Found 7 events","✅ 450 Technologies Found",,"Google API, RSS, MooTools, Atom, Google Custom Search, Google JS Api, Rackspace DNS Cloud, Microsoft Exchange Online, Content Delivery Network, Rackspace CDN, jQuery, Hover Intent, Nivo Slider, JCarousel Lite, YouTube, Shockwave Flash Embed, Google Analytics, Rack Cache, Apache, Phusion Passenger, Ruby on Rails, Google Apps for Business, Rackspace Cloud Servers, Rackspace, Drupal, Vimeo, jQuery Colorbox, Logic Boxes, ThemePunch, Google Font API, Tweet for jQuery, jQuery Once, html5shiv, PHP, Limiter Modules, Vimeo CDN, Confluence Networks, Google Universal Analytics, Font Awesome, Drupal 7, Viewport Meta, Drupal Version 7.2x, Pingback Support, Wordpress Plugins, WordPress, Slider Revolution, WP PageNavi, Visual Composer, Really Simple Discovery, Live Writer Support, WordPress 4.0, Underscore.js, jQuery Waypoints, Comodo PositiveSSL, Comodo PositiveSSL Wildcard, Comodo SSL, GSAP, UberMenu, GStatic Google Static Content, Google Maps API, Google Maps, jQuery UI, Apache 2.2, Unix, mod_ssl, OpenSSL, OpenSSL 1.0.1, DAV, SPF, Unified Layer, W3 Total Cache, Dedicated Hosting, Twitter Embedded Tweets, Twitter Platform, jQuery UI Tabs, Twemoji, Wordpress 4.6, Wordpress Daily Activity, Twitter CDN, CPanel SSL, jQuery Countdown, Skrollr, WordPress Weekly Activity, Adobe Connect, Workplace by Facebook, OWL Carousel, DoubleClick.Net, Global Site Tag, Google Tag Manager, Bootstrap.js, IPhone / Mobile Compatible, LetsEncrypt, Contact Form 7, Wordpress 4.9, Apache 2.4, Ubuntu, Amazon, Amazon Mumbai Region, All in One SEO Pack, Google Webmaster, MSN/Bing Webmaster, SSL by Default, Page Links To, Pound Sterling, Japanese Yen, IIS, IIS 10, ASP.NET, Microsoft, Microsoft Azure, Microsoft Azure India Central Region, jQuery prettyPhoto, Microsoft Azure India South Region, Sitelinks Search Box, Easy Pie Chart, jQuery Masonry, Isotope, Typed.js, particles.js, Moment JS, Froogaloop, Fizzy UI Utils, Microsoft Bot Framework, COVID-19, Sendgrid, DMARC, Symantec Secure Site, crypto browserify, React, core-js, Elliptic, Chart.js, jQuery Migrate, Microsoft Azure DNS, React Redux, WhatsApp, Organization Schema, Events Page, PHP 7, DigiCert SSL, GeoTrust SSL, University or College, ContactPoint Schema, WP Google Map Plugin, Careers, Kingster Theme, Euro, GoodLayers, Facebook Conversion Tracking, Facebook SDK, Facebook for Websites, Facebook Pixel, Facebook Custom Audiences, Facebook Signal, US Privacy User Signal Mechanism, Facebook, LinkedIn, Twitter, Apple Mobile Web Clips Icon, Google Analytics Classic, jQuery 1.7, Instagram, WPBakery, LinkedIn Ads, Google AdWords Conversion, Google Conversion Tracking, LinkedIn Insights, Members Page, Plans and Pricing, CrUX Dataset, CrUX Top 500k, Twitter Website Universal Tag, Twitter Conversion Tracking, Twitter Ads, imagesLoaded, WP-Optimize, Cloudflare Radar, Cloudflare Radar Top 500k, WordPress 6.3, Google Analytics 4, Google Remarketing, SuperFish Menu, SWFObject, jQuery Cookie, Facebook Like Button, Python, FlexSlider, Twitter Tweet Button, Facebook Sharer, Pinterest, Wordpress 4.3, Facebook Tag API, jQuery Form, jQuery BlockUI, WooCommerce Add To Cart, WooCommerce, Wordpress 4.4, Stumbleupon, Person Schema, Gravatar Profiles, Shutterstock, Next.js, HSTS, Vercel, Intersection Observer, Domain Not Resolving, CPanel, Softlayer, AJAX Libraries API, cufón, BootstrapCDN, Modernizr, jQuery CDN, CDN JS, Wix, Wix Code, Wix Countdown, Wix Bookings, Wix Pro Gallery, Wix Premium, Wix Ad Free, Facebook Domain Insights, Wix Chat, Wix Events, Wix Forms, Webpack, RequireJS, Google Cloud, Google, Google AdsBot Disallow, Google AdsBot Mobile Disallow, Sentry, Sectigo SSL, Sectigo Domain SSL, Google Cloud Frankfurt, Google Cloud London, Wix Hosted, Google Cloud Montreal, Google Cloud Global Multi-Region, Typeform, jQuery 1.10.2, jQuery Corner, WOW, Magnific Popup, Kaspersky, Modernizr 2.8, Public Domain Registry, nginx, Nginx 1.17, Cloudflare, Cloudflare JS, YouTube Privacy Enchanced, Popper.js, Swipe JS, HubSpot Tether, Copyright Year 2020, Google Maps Embed, HostGator, Hostgator Mail, jQuery 2.2.4, The Events Calendar, touchSwipe, CrUX Top 50m, CrUX Top 5m, Microsoft Azure US Central Region, Azure SSL, Microsoft SSL, Common Name Invalid, CrUX Top 10m, Cart Functionality, Invalid Certificate Dates, LocalBusiness Schema, PostalAddress Schema, Located Map, Viar.Live, Wix Stores, lodash, Polyfill IO, Countdown Timer for Wix, Located - Store Mapper for Wix, Magic Form Builder for Wix, PDF Viewer for Wix, Impressive Text Slider for Wix, Instagram Feed for Wix, Wix Forum, Virtual Tours for Wix, Wix Blog, Wix Multilingual, Wix Paid Plans, Copyright Year 2016, Wix Media, QUIC, Google Cloud CDN, English HREF LANG, Site Booster, American Express, PayPal, Site Booster for Wix, Googlebot Disallow, Wordpress 5.1, CloudFront, reCAPTCHA, jQuery 1.11.1, LeadSquared, WordPress 6.2, WordPress 6.0, AOS, jQuery 3.5.1, Respond, RawGit, Google Hosted Libraries, Google Hosted jQuery, jsDelivr, jQuery Validate, Vivus, jQuery Easing, gMap, lazySizes, OwlCarousel2, Packery, CrUX Top 1m, Lorem Ipsum, Latest News for Wix, Feeder Ninja for Wix, Twitter Feed for Wix, Google Cloud South Carolina, zepto.js, Wix Video, Slick JS, TweenMax, Laravel, Vue, Axios, Workbox, Hugo, Service Worker, LinkedIn Platform API, jQuery 3.3.1, Responsive Tabs for WordPress, WordPress 5.8, iStockPhoto, MonsterInsights, Amazon S3 CDN, jQuery 2.1.3, Stellar.js, Google Maps for Work, Ionicons, Colorlib, Mobile Non Scaleable Content, Fancybox, Wordpress 3.9, StartSSL, All-in-One Event Calendar for WordPress, Wordpress 4.2, FullCalendar, Google Places Library, jQuery 3.6.0, IPv6, Classie, yepnope, jQuery Placeholder, jQuery UI Touch Punch, Raphael, DataTables, Snap.svg, ZeroClipboard, Select2, Java EE, Cloudinary, Wonder Video Embed, Sify, Camera Slideshow, W3.CSS, Netlify, Device JS, scrollReveal.js, Digital Ocean, Amazon California Region, Amazon Virginia Region, Amazon Frankfurt Region, Amazon Singapore Region, Amazon Sydney Region, UpContent, The Maazone for Wix, Easy Content Gallery for Wix, Visual Stats Bar for Wix, Apache Traffic Server, Charts Ninja for Wix, Wix Restaurants Orders, WordPress 6.4, IIS 7, ASP.NET Ajax, Telerik Controls, Visual Studio, IIS 6, ASP.NET 2.0, TATA Communications, Modernizr 2.6, ASP.NET 4.0, Copyright Year 2018, Tata Tele Business Services, Visa, Venmo, Wordpress 4.5, WooCommerce Checkout, jPlayer, JCarousel, Infinite Scroll, jQuery Mousewheel, Imgur, Apple Mobile Web App Capable, Wordpress Monthly Activity, Photo Gallery for WordPress, jQuery Custom Content Scroller, Varnish, jQuery 3.1.0, Quill, Bonzo, Django CSRF, Instamojo, WordPress 5.5, LearnPress, ThimPress, vuex, Accordion FAQ, Headroom.js, Mobile Optimized, GitHub Hosting, Modernizr 2.0, Fastly, Fastly Hosted, Fastly Load Balancer, GitHub Pages, Linearicons, Open edX, Babel, URI js, Classnames, Backbone.js, Debian, es6 promise, Facebook CDN, Facebook Login, Heroku Vegur Proxy, Heroku DNS, Bulma, WordPress 5.3, Iframely, YouTube IFrame API, YouTube IFrame Upload","❌ No Jobs Found","✅ 3 matching jobs for pes.edu",,"3"
,"KashSam Data Solutions Pvt Ltd","KashSam Data Solutions Pvt Ltd","We enable Businesses to adopt a data-driven decision-making culture and help them get digitally transformed.

AI, ML, Clustering, Neural Networks, and other jargons, we interpret for Businesses in plain functional terms, which they can put in to use for conducting their Business. 

Our strength is to introduce Data Technologies to an organization and guarantee its effective adoption, as we focus on designing and bringing these Products to market and helping the organization convert its data into cash for their business.

We have the expertise and capabilities in-house and through our Partners in all verticals  Infrastructure, Core Application Systems, Automation Tools, and Collaborative Platforms  to provide unbiased, digital consultancy and technology strategies to the Business to access and enhance their current technology landscape.","Data Infrastructure and Analytics","11-50 employees","Privately Held","Chennai, Tamilnadu","India","kashsam.ai","https://www.linkedin.com/company/kashsam-data-solutions-pvt-ltd","KashSam Data Solutions Pvt Ltd","❌ No Events Found","✅ 81 Technologies Found",,"WooCommerce Checkout, 10 WooCommerce Products, WooCommerce 6.9, SSL by Default, Yoast SEO Premium, Yoast WordPress SEO Plugin, LocalBusiness Schema, Organization Schema, Sitelinks Search Box, WordPress 6.0, LinkedIn, Font Awesome, Google Analytics 4, jQuery, jQuery Masonry, WOW, WordPress, WooCommerce Add To Cart, Apple Mobile Web Clips Icon, Live Writer Support, Lightspeed Cache, Google Font API, WooCommerce, Google Tag Manager, Global Site Tag, Google Analytics, imagesLoaded, Isotope, jQuery UI, jQuery BlockUI, jQuery Countdown, Magnific Popup, Lightbox, Modernizr, Modernizr 3.5, Viewport Meta, Yoast Plugins, OWL Carousel, Really Simple Discovery, RSS, jQuery Waypoints, IPhone / Mobile Compatible, Wordpress Plugins, Elementor, Contact Form Plugin, Instagram Feed for WordPress, Fluent Forms, Careers, US Privacy User Signal Mechanism, Intersection Observer, LiteSpeed, PHP, PHP 7, Sectigo SSL, Sectigo Domain SSL, Namecheap Hosting, SPF, Namecheap DNS, Shipping, OwlCarousel2, Webpack, core-js, Fizzy UI Utils, Twemoji, iCheck, Slick JS, Contact Form 7, Product Filters for WooCommerce, Bellows Accordion Menu, Popup Anything, WooLentor, Pingback Support, WordPress 6.2, Tooltipster, WordPress 6.3, U.S. Server Location, WordPress 6.4, Person Schema, Lorem Ipsum, Euro, Google Maps","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"Hikmah Technologies","Hikmah Technologies","We provide custom data solutions as well as help our clients to improve their business through the latest technologies","Data Infrastructure and Analytics","2-10 employees","Self Employed","Navi Mumbai, Maharashtra","India","hikmahtechnologies.com","https://www.linkedin.com/company/hikmah-technologies","Hikmah Technologies","❌ No Events Found","✅ 99 Technologies Found",,"SSL by Default, Font Awesome, Google Analytics 4, scrollReveal.js, UNPKG, Content Delivery Network, Google Font API, Google Tag Manager, Global Site Tag, Google Analytics, jsDelivr, BootstrapCDN, Viewport Meta, IPhone / Mobile Compatible, jQuery, Amazon S3, Amazon SSL, Amazon, Amazon CloudFront, Amazon Route 53, Copyright Year 2021, SPF, Google Apps for Business, jQuery CDN, jQuery 2.1.0, jQuery 3.6.0, jQuery Waypoints, LinkedIn, Twitter, AWS Cloudfront Los Angeles CA Edge, US Privacy User Signal Mechanism, Intersection Observer, AWS Cloudfront Ashburn VA Edge, Facebook, Instagram, Google Universal Analytics, Google Forms, Metricool, AWS Cloudfront Singapore Edge, GStatic Google Static Content, Sentry, AWS Cloudfront Sydney Edge, AWS Cloudfront Hillsboro OR Edge, Google Remarketing, DoubleClick.Net, Substack, CrUX Dataset, CrUX Top 50m, AWS Cloudfront Seattle WA Edge, AWS Cloudfront Madrid Edge, Datadog, Cloudflare Insights, Cloudflare Web Analytics, Euro, AWS Cloudfront Paris Edge, AWS Cloudfront Taipei TW Edge, Day.js, React, core-js, HSTS, Vercel, LetsEncrypt, GoDaddy DNS, U.S. Server Location, Amazon API Gateway, Do Not Sell, Privacy Policy Generator, NewsMediaOrganization Schema, Twitter App Card, Twitter App Card iPhone, Android Alternative, Apple Mobile Web Clips Icon, Medium, COVID-19, Facebook Domain Insights, RSS, Cloudflare CDN, HSTS IncludeSubdomains PreLoad, Cloudflare, Envoy, Apollo GraphQL, Algolia, reCAPTCHA, Cloudflare Hosting, Cloudflare SSL, Google Identity Platform, Microsoft Clarity, GPTBot Disallow, Organization Schema, Person Schema, Branch, PayPal, Braintree, Pocket, Instapaper, Stripe, Freepik, BunnyCDN General, Tailwind CSS","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"Numlytics","Numlytics","We are well-versed in a variety of Data Architecture, Cloud BI, Visualization, Custom Reports & dashboards, Data Modeling, Data Migration, Data Governance, Mobile BI, Modern data warehousing, Self-service consultancy, and ETL\ ELT. We work with just about any data technology that a business would encounter. We use this expertise to help customers to make right decisions.","Data Infrastructure and Analytics","2-10 employees","Partnership","Vadodara, Gujarat","India","numlytics.com","https://www.linkedin.com/company/numlytics","Numlytics","❌ No Events Found","✅ 40 Technologies Found",,"Workbox, SSL by Default, LinkedIn, Apple Mobile Web Clips Icon, GoDaddy Website Builder, Viewport Meta, Service Worker, IPhone / Mobile Compatible, GoDaddy CDN, GoDaddy SSL, GoDaddy, Office 365 Mail, SPF, GoDaddy Email, Microsoft Exchange Online, GoDaddy DNS, GoDaddy Registrar, Google Analytics 4, Google Tag Manager, Global Site Tag, Google Analytics, US Privacy User Signal Mechanism, Intersection Observer, jQuery, Amazon, AWS Global Accelerator, Careers, Clutch, GoDaddy Parking, Hubspot, GoodFirms, Classnames, React, core-js, matchMedia, DMARC, HubSpot Analytics, Hubspot Forms, GitHub, Euro","✅ Found 1 jobs",,,"1"
,"Red Analytica","Red Analytica","A data engineering company specializes in providing solutions for businesses to handle their data efficiently. This may include building data pipelines, developing data warehousing solutions, and implementing data governance processes. The goal is to support data-driven decision making and provide a solid foundation for advanced analytics and machine learning initiatives.","Data Infrastructure and Analytics","2-10 employees","Self Owned","Ahmedabad, Gujarat","India","redanalytica.com","https://www.linkedin.com/company/redanalytica","Red Analytica","❌ No Events Found","✅ 5 Technologies Found",,"Amazon, AWS Global Accelerator, SPF, Google Apps for Business, GoDaddy DNS","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"ENTELLISOFT TECHNOLOGIES INDIA PRIVATE LIMITED","ENTELLISOFT TECHNOLOGIES INDIA PRIVATE LIMITED","Entellisoft Technologies India is a Business Technologies firm committed to helping clients, utilize best of breed technologies to achieve sustainable competitive advantage.","Data Infrastructure and Analytics","11-50 employees","Privately Held","MUMBAI, Maharashtra","India","esoftwarelabs.com","https://www.linkedin.com/company/entellisoft-technologies-india-private-limited","ENTELLISOFT TECHNOLOGIES INDIA PRIVATE LIMITED","❌ No Events Found","✅ 58 Technologies Found",,"GoDaddy, Shockwave Flash Embed, GoDaddy DNS, ASP.NET, Google Analytics Classic, Adobe Active Content, GoDaddy Email, Google Analytics, SWFObject, IIS 7, IIS, IIS 8, Parallels Plesk Panel, Wild West Domains, GoDaddy CDN, Classic ASP, Plesk, IIS 10, GoDaddy Parking, Google Adsense, Google Adsense for Domains, Viewport Meta, IPhone / Mobile Compatible, OpenResty, Google Cloud, AdBlock Acceptable Ads, Some Robots Disallow, Google, Google Cloud Global Multi-Region, Apache, Starfield Technologies, Font Awesome, jQuery, Modernizr, Popper.js, WOW, imagesLoaded, Isotope, jQuery 1.12.4, jQuery Easing, Magnific Popup, OWL Carousel, Careers, CPanel SSL, SSL by Default, nginx, SPF, LetsEncrypt, CrUX Dataset, CrUX Top 5m, CrUX Top 10m, Invalid Certificate Dates, CrUX Top 50m, PHP, PHP 7, U.S. Server Location, Google Custom Search, Euro","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"FLINTHIN Business Intelligence","FLINTHIN Business Intelligence","FLINTHIN revolutionize the way businesses operate by leveraging smart business solutions empowered by advanced tools, with a focus on data analytics and business intelligence.","Data Infrastructure and Analytics","2-10 employees","Privately Held","Chennai, TAMILNADU","India",,"https://www.linkedin.com/company/flinthin-business-intelligence","FLINTHIN Business Intelligence",,,,,,,,
,"Deepspectrum Analytics","Deepspectrum Analytics",,"Data Infrastructure and Analytics","2-10 employees","Privately Held","Chennai, Tamilnadu","India","deepspectrum.ai","https://www.linkedin.com/company/deepspectrum-analytics","Deepspectrum Analytics","❌ No Events Found","✅ 3 Technologies Found",,"Amazon, Amazon Virginia Region, SPF","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"EXCEL DATA ENTRY EXPERT","EXCEL DATA ENTRY EXPERT","Excel and Word data entry, along with expertise in these tools, falls under the broader category of ""Data Entry"" or ""Administrative Support"" services. Individuals or professionals who specialize in efficient data entry using Microsoft Excel and Word may position themselves as data entry specialists, administrative assistants, or office support professionals.
Data Entry Specialist:

Professionals who specialize in accurately entering data into various software applications, including Excel and Word.
Administrative Assistant:

This role often involves handling a variety of administrative tasks, including data entry, document creation, and organization using tools like Excel and Word.
Office Support Professional:

Individuals providing support in an office setting, which may include tasks such as data entry, document preparation, and spreadsheet management.
Microsoft Office Specialist:

Some professionals may use this title to highlight their expertise in Microsoft Office applications, which includes Excel and Word.
Document Controller:

In some industries, individuals responsible for managing and organizing documents, which can involve data entry and document creation in Word and Excel, may be referred to as document controllers.
Virtual Assistant:

Those who provide remote administrative support services, including data entry and document management, might position themselves as virtual assistants.
These terms can vary, and the specific job title or industry term might depend on the context and the range of tasks involved. Individuals offering these services may also consider incorporating relevant skills and tools into their titles or descriptions to highlight their proficiency with Excel and Word.","Data Infrastructure and Analytics","Self-employed","Self Employed","Delhi, Delhi","India","eastdelhiproperty.in","https://www.linkedin.com/company/vipul-jain3699","EXCEL DATA ENTRY EXPERT","❌ No Events Found","✅ 65 Technologies Found",,"HTML5 DocType, UTF-8, Viewport Meta, IPhone / Mobile Compatible, Friends Network, GTM4WP, RankMath, SEO_TITLE, Meta Description, SEO_META_DESCRIPTION, Meta Robot, Canonical Content Tag, Open Graph Protocol, Twitter Cards, JSON-LD, Facebook, Sitelinks Search Box, Person Schema, Gravatar Profiles, Google Tag Manager, RSS, MonsterInsights, Global Site Tag, Google Analytics 4, Google Analytics, Javascript, WordPress, Contact Form 7, Font Awesome, Google Font API, GStatic Google Static Content, Google Universal Analytics, Really Simple Discovery, WordPress 6.4, oEmbed, Site Kit, 99Robots HFCM, Facebook for Websites, Facebook SDK, Facebook Pixel, Facebook Custom Audiences, Facebook Conversion Tracking, Hubspot, Apple Mobile Web Clips Icon, Windows 8 Pinning, IFrame, HTML 5 Specific Tags, SEO_H1, Priority Hints, srcset, SEO_H2, HTML 5 Video Audio Tags, Lorem Ipsum, jQuery, jQuery Waypoints, jQuery UI, Lightbox, Underscore.js, WPForms, Lightspeed Cache, Content Security Policy, PHP, Google Webmaster, LiteSpeed, QUIC","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"TheScholar","TheScholar","Leading Brand in Consulting | Outsourcing | Online Training on  Data Science , Data Analytics , Machine Learning , Data Engineering .","Data Infrastructure and Analytics","11-50 employees","Educational","New Delhi, Delhi","India","thescholar.in","https://www.linkedin.com/company/thescholar","TheScholar","❌ No Events Found","✅ 78 Technologies Found",,"Viewport Meta, IPhone / Mobile Compatible, AJAX Libraries API, Google Hosted Libraries, Google Hosted jQuery, jQuery, jQuery 3.3.1, Content Delivery Network, BootstrapCDN, CDN JS, Font Awesome, jQuery CDN, jQuery 2.2.4, IIS, IIS 7, PHP, ASP.NET, Net4 DNS, Net4India, Apple Mobile Web App Capable, Mobile Non Scaleable Content, html5shiv, Google Font API, jQuery Countdown, jQuery 3.4.1, ThemePunch, PHP 7, Global Site Tag, Google Analytics, Facebook Pixel, Facebook for Websites, Facebook SDK, Facebook Custom Audiences, Facebook Conversion Tracking, Psychz Networks, IPv6, Apple Mobile Web Clips Icon, OWL Carousel, jQuery prettyPhoto, FlexSlider, WOW, jQuery Easing, jQuery Waypoints, Google Maps API, Google Maps, Google Maps for Work, nginx, SSL by Default, SPF, Google Universal Analytics, Careers, Apache, CPanel SSL, Google Tag Manager, Isotope, jQuery Masonry, prettyPhoto, Events Page, LetsEncrypt, UNPKG, WhatsApp, jsDelivr, reCAPTCHA v2, COVID-19, Flickity, reCAPTCHA, Cloudflare JS, Euro, Clare.AI, Nginx 1.17, US Privacy User Signal Mechanism, Facebook, LinkedIn, CrUX Dataset, CrUX Top 50m, CrUX Top 10m, Google Apps for Business, Indian Server Location","❌ No Jobs Found","✅ 10 matching jobs for thescholar.in",,"10"
,"Hyderabad Data Analytics Community","Hyderabad Data Analytics Community","Hyderabad Data Analytics community is responsible for organizing Data Analytics Meetups and Podcasts in Hyderabad. 

Adithya Ram Parisa and THODUPUNURI BHARATH are committed to educating and guiding aspiring data analysts as well as those transitioning into data analytics careers.

We organize free community meetups every month in Hyderabad, where we invite data industry leaders to help bridge the gap between aspirations and job opportunities.

Data field peeps! Want to join our free Meetups and meet fellow data professionals?
Follow Hyderabad Data Analytics community for more details!

Collaborate with us and make something amazing? 
Connect with us: Datacommunity.hyd@gmail.com","Data Infrastructure and Analytics","2-10 employees","Educational","Hyderabad, Telangana","India",,"https://www.linkedin.com/company/hyderabad-data-analytics-community","Hyderabad Data Analytics Community",,,,,,,,
,"Alian Solutions","Alian Solutions","As an emerging Data-as-a-Service (DaaS) firm, our data and research enable you to make data-driven business decisions.
Our passion leads us here. We are growing and doing business responsibly and with integrity is the foundation of our organizational culture.

When you work with Alian Solutions, you get digital brilliance. Our data research and management solutions resolve real business challenges for our clients by infusing intelligence into chaotic and unstructured data.

Our unwavering pursuit of technology, automation, and innovation to forge process and delivery excellence across engagements at Alian Solutions facilitates clients in achieving growth and business transformation.","Data Infrastructure and Analytics","51-200 employees","Privately Held","Mumbai, Maharastra","India","aliansolutions.com","https://www.linkedin.com/company/alian-solutions","Alian Solutions","❌ No Events Found","✅ 36 Technologies Found",,"OVH, Amazon, AWS Global Accelerator, SPF, Microsoft Exchange Online, Office 365 Mail, GoDaddy DNS, SSL by Default, Odoo, Google Analytics 4, Google Tag Manager, Global Site Tag, GStatic Google Static Content, Google Analytics, Google Webmaster, Viewport Meta, IPhone / Mobile Compatible, Careers, nginx, LetsEncrypt, US Privacy User Signal Mechanism, Intersection Observer, jQuery, GoDaddy Parking, Google Adsense, Google Adsense for Domains, GoDaddy CDN, OpenResty, Google Cloud CDN, Google Cloud, AdBlock Acceptable Ads, Some Robots Disallow, Google, Google Cloud Global Multi-Region, Powerline, Hong Kong Server Location","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
,"Metricx","Metricx","Metricx is an innovative data analytics and infrastructure company at the forefront of the industry. We specialize in providing comprehensive solutions that empower businesses to harness the power of data and extract actionable insights. Our cutting-edge technology and expertise enable organizations to effectively measure, monitor, and optimize their operations, ultimately driving informed decision-making and tangible business outcomes. With a strong focus on scalability, reliability, and security, Metricx delivers robust analytics solutions that unlock the full potential of data, helping businesses thrive in today's data-driven world.","Data Infrastructure and Analytics","51-200 employees","Privately Held","Pune, Maharashtra","India","metricx.co","https://www.linkedin.com/company/metricxanalytics","Metricx","❌ No Events Found","✅ 22 Technologies Found",,"SSL by Default, Facebook, Instagram, LinkedIn, Next.js, Twitter, Viewport Meta, IPhone / Mobile Compatible, Google Maps, Amazon CloudFront, AWS Cloudfront Frankfurt Edge, Amazon SSL, Google Apps for Business, Amazon Route 53, CrUX Dataset, CrUX Top 50m, Amazon, React, AWS Cloudfront Miami FL Edge, GStatic Google Static Content, Google Maps API, AWS Cloudfront Montréal QC Edge","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",
